file,date,obj_pixels,obj_area_ha,total_pixels,fraction
01052024_pred.tif,01052024,94639,1043.394975,2961620,0.03195514617000155
03072023_pred.tif,03072023,167899,1851.086475,1667925,0.10066339913365409
06052025_pred.tif,06052025,225864,2490.1506,3233143,0.06985895767678696
07052024_pred.tif,07052024,49031,540.566775,2262402,0.021672098946164297
09052021_pred.tif,09052021,88934,980.49735,3242472,0.02742783900678248
09052023_pred.tif,09052023,78456,864.9774,3718242,0.021100294171277716
11092025_pred.tif,11092025,456673,5034.819825,2990260,0.15272016480172293
12052022_pred.tif,12052022,47090,519.16725,3397884,0.01385862495600203
13072025_pred.tif,13072025,272846,3008.12715,2537613,0.10752072912615122
13092021_pred.tif,13092021,0,0.0,2869979,0.0
16072022_pred.tif,16072022,275905,3041.852625,3345715,0.08246518307745877
23062023_pred.tif,23062023,20301,223.818525,1136352,0.017865062938244487
24062022_pred.tif,24062022,270072,2977.5438,3352494,0.08055853343809116
27082019_pred.tif,27082019,131242,1446.94305,2477476,0.05297407522817577
